name,industry,category,country,city,address,website,phone,email,description,logoUrl,imageUrl,products,certifications,moq,rating,reviewCount,sourceUrl,images
EMSTEEL Building Materials PJSC (EMSTEEL),Metal,Steel & Metals,United Arab Emirates,Mussafah / Abu Dhabi Industrial City (ICAD I),,https://www.emsteel.com/,,,"EMSTEEL is the UAE’s largest publicly listed steel and building-materials group (ADX: EMSTEEL), formed from the merger of Emirates Steel and Arkan. Its integrated Emirates Steel complex in Abu Dhabi Industrial City uses DRI and EAF technology with rolling mills that produce rebar, wire rod, heavy/jumbo sections and the region’s only hot-rolled sheet piles. Rated steel capacity is about 3.5 million tonnes per year; finished products from Abu Dhabi have been shipped to more than 70 countries.",https://ar2024.emsteel.com/images/components/mainpage/images/s1-bg.jpeg,/images/suppliers/phase1/steel-metals/emsteel-company.jpg,Rebar (straight bar and coil)|Carbon steel wire rod|Heavy and jumbo structural sections|Hot-rolled sheet piles,ISO 9001 (UK CARES)|ISO 14001 (TUV Middle East)|ISO 45001 (TUV Middle East)|UK CARES product conformity for rebar|ASME nuclear-grade rebar (Material Organization QSC 667),,,,https://www.emsteel.com/about-emirates-steel/,/images/suppliers/phase1/steel-metals/emsteel-company.jpg|/images/suppliers/phase1/steel-metals/emsteel-product.jpg
Ferrite Structural Steels Private Limited,Metal,Steel & Metals,India,"Kalamboli, Navi Mumbai",,https://ferrite.in/,,,"Ferrite Structural Steels (formerly Payal Enterprises) is a Mumbai-based structural-steel company with a published factory at Plot 18, KWC Kalamboli, Navi Mumbai, plus stockholding warehouses at the same hub. It manufactures and processes angles, beams, channels, bars, pipes, sheets and plates, and also stocks mill brands as an authorized SAIL / RINL MoU distributor. The firm states it operates a rolling mill and galvanizing capability (including PRECITECH fabrication in Jejuri, Pune) alongside service-center processing such as cut-to-size and slitting.",https://ferrite.in/wp-content/uploads/2024/06/Ferrite-Structural-Steels-1520_600-scaled.jpg,/images/suppliers/phase1/steel-metals/ferrite-structural-banner.jpg,Mild steel angles|MS beams / I-beams and H-beams|MS channels|Steel plates and sheets,ISO 9001:2015,1 ton (listed on TradeIndia product pages),,,https://www.indiamart.com/ferrite-structural/profile.html,/images/suppliers/phase1/steel-metals/ferrite-structural-banner.jpg|/images/suppliers/phase1/steel-metals/ferrite-structural-home.jpg
Qatar Steel Company (Q.P.S.C.),Metal,Steel & Metals,Qatar,Mesaieed Industrial City,,https://www.qatarsteel.com.qa/,,,"Qatar Steel, established in 1974 and a subsidiary of Industries Qatar, is the first integrated steel plant in the Arabian Gulf. Its Mesaieed works produces DRI, HBI, steel billets, reinforcing bars (8–40 mm) and wire rod using DRI–EAF steelmaking and rolling mills. The mill holds long-standing ISO 9001 and UK CARES product-conformity certificates and supplies GCC and other export markets under BS 4449, ASTM A615 and related standards.",https://www.qatarsteel.com.qa/wp-content/uploads/2022/01/construction-bars-1.jpg,/images/suppliers/phase1/steel-metals/qatar-steel-billets.jpg,"Reinforcing steel bars (rebar, 8–40 mm)|Wire rod and rebar in coil|Steel billets|Direct reduced iron (DRI) / hot briquetted iron (HBI)","ISO 9001:2015|ISO/IEC 17025 laboratory accreditation|UK CARES product conformity (ASTM A615 Gr.60, BS 4449 B500B)|Dubai Central Laboratory (DCL) product conformity|Qatar Quality Mark",,,,https://www.qatarsteel.com.qa/qatar-steel-main-products/,/images/suppliers/phase1/steel-metals/qatar-steel-billets.jpg|/images/suppliers/phase1/steel-metals/qatar-steel-rebars.jpg
JSW Steel Limited,Metal,Steel & Metals,India,"Toranagallu (Vijayanagar Works), Ballari, Karnataka",,https://www.jswsteel.in/,,,"JSW Steel is one of India’s largest integrated steel producers. Flagship Vijayanagar Works at Toranagallu is a ~10,000-acre complex with blast furnaces, BOFs, continuous casting, India’s widest hot strip mill, cold rolling and coating lines, plus long-product mills for TMT bars and wire rods. The site holds ISO 9001/14001/45001/50001, SA8000 and ResponsibleSteel certification and supplies flat and long products to infrastructure, automotive and construction markets in India and overseas.",https://jsw-steel-s3.s3.ap-south-1.amazonaws.com/jsw-steel-images/uploads/2026/01/vijaynagarworksimg.jpg,/images/suppliers/phase1/steel-metals/jsw-steel-vijayanagar-1.jpg,"Hot rolled coils, plates and sheets|JSW Neosteel TMT bars (Fe 550D / 600)|Wire rods|Cold rolled and galvanised / galvalume coils",ISO 9001:2015|ISO 14001:2015|ISO 45001:2018|ISO 50001:2018|ResponsibleSteel,,,,https://www.jswsteel.in/facility/vijayanagar-works,/images/suppliers/phase1/steel-metals/jsw-steel-vijayanagar-1.jpg|/images/suppliers/phase1/steel-metals/jsw-steel-vijayanagar-2.jpg
Saudi Iron and Steel Company (Hadeed),Metal,Steel & Metals,Saudi Arabia,Jubail Industrial City,,https://hadeed.com.sa/,,,"Hadeed is the first fully integrated iron-and-steel complex in Saudi Arabia (founded 1979) and the largest long-and-flat producer in the GCC. The Jubail plant uses multiple DRI modules, EAFs and rolling mills with about 3.8 Mt of long products and 2.2 Mt of flat products annually. Product range covers rebar, rebar-in-coil, wire rod, light sections, hot-rolled and cold-rolled coil, galvanized and pre-painted coil. PIF acquired Hadeed in May 2024; the company also absorbed AlRajhi Steel Industries.",https://www.midrex.com/wp-content/uploads/FIGURE-3-2.jpg,/images/suppliers/phase1/steel-metals/hadeed-module-e-htc.jpg,"Concrete reinforcing bars (rebar and rebar-in-coil)|Wire rod|Hot-rolled coils|Cold-rolled and hot-dip galvanized coils|Light sections (flats, squares, equal angles, channels)",ISO 9001:2015 (TUV Austria)|ISO 14001:2015 (DNV)|ISO 45001:2018 (DNV)|ISO 50001:2018 (Bureau Veritas)|UK CARES product conformity (BS 4449),,,,https://hadeed.com.sa/about-us,/images/suppliers/phase1/steel-metals/hadeed-module-e-htc.jpg|/images/suppliers/phase1/steel-metals/hadeed-module-e.jpg
Tata Steel Limited,Metal,Steel & Metals,India,Jamshedpur,,https://www.tatasteel.com/,,,"Tata Steel operates Asia’s first integrated steel plant at Jamshedpur (founded 1907), with additional Indian works at Kalinganagar and Meramandali and captive iron-ore and coal mines. Jamshedpur produces hot-rolled, cold-rolled and galvanised coils plus long products including Tata Tiscon rebars and wire rods via the BF–BOF route. The Jamshedpur Steel Works was India’s first ResponsibleSteel-certified site; key Indian manufacturing sites hold ISO 9001, ISO 14001 and ISO 45001.",https://www.tatasteel.com/tata-steel-brochure/images/inside-10.jpg,/images/suppliers/phase1/steel-metals/tata-steel-factory-1.jpg,Tata Tiscon TMT rebars|Hot rolled coils|Cold rolled coils|Galvanised coils and sheets|Wire rods,ISO 9001:2015 (key Indian manufacturing sites)|ISO 14001:2015 (Jamshedpur Steel Works)|ResponsibleSteel (Jamshedpur),,,,https://www.tatasteel.com/tata-steel-brochure/inside-tata-steel.html,/images/suppliers/phase1/steel-metals/tata-steel-factory-1.jpg|/images/suppliers/phase1/steel-metals/tata-steel-factory-2.jpg|/images/suppliers/phase1/steel-metals/tata-steel-night.jpg
Jingye Steel (Jingye Group),Metal,Steel & Metals,China,"Shijiazhuang (Pingshan / Nandian), Hebei",,https://www.jingyesteel.com.cn/,,,"Jingye Steel, founded in 1990, is a Fortune Global 500 Chinese steelmaker with multiple mills (Shijiazhuang Iron & Steel, Yingkou Medium Plate, Guangdong Jingye, Jiangsu Jingye and others). It operates a large bar-and-wire-rod base (about 18 production lines) plus plate, HRC, cold-rolled, galvanized, colour-coated and pipe mills. Rebar is offered in Chinese, British, American, Korean, Australian and other grades; the group states exports to 130+ countries and ISO 9001/14001/45001 plus CE, CARES and ACRS product certifications.",https://omo-oss-image1.thefastimg.com/portal-saas/pg2025112709483949130/cms/image/615cfba6-3843-45fb-931c-7490446d6440.jpg?vf=B7gH3s,/images/suppliers/phase1/steel-metals/jingye-pingshan-aerial.jpg,"Hot-rolled ribbed bars / rebar (HRB400, HRB500, B500B, ASTM Gr.60)|Medium and thick steel plate|Hot rolled coil (HRC)|Galvanized and pre-painted steel coil (PPGI)|Steel pipe (SSAW / SAW)",ISO 9001|ISO 14001|ISO 45001|EU CE|UK CARES / ACRS (rebar),,,,https://www.made-in-china.com/showroom/jingyesteelrebar/,/images/suppliers/phase1/steel-metals/jingye-pingshan-aerial.jpg|/images/suppliers/phase1/steel-metals/jingye-pingshan-rolling.jpg
Rashtriya Ispat Nigam Limited (RINL / Vizag Steel),Metal,Steel & Metals,India,Visakhapatnam,,https://www.vizagsteel.com/,,,"RINL is a Government of India Navaratna enterprise operating Visakhapatnam Steel Plant, India’s first shore-based integrated steel plant and a long-products specialist. The works includes steel melt shops, a light-and-medium merchant mill, wire-rod mills (~1.65 Mt combined), a structural mill and a special bar mill producing Vizag TMT rebars, wire-rod coils, beams, channels, angles and rounds. RINL states it was the first Indian steel plant certified to ISO 9001, ISO 14001, ISO 45001 and ISO 50001.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Pylon_at_Vizag_Steel_Plant_01.jpg/1280px-Pylon_at_Vizag_Steel_Plant_01.jpg,/images/suppliers/phase1/steel-metals/rinl-vizag-plant.jpg,"Vizag TMT rebars|Plain wire rod coils|Vizag Ukku structurals (beams, channels, angles)|Plain and forged rounds",ISO 9001:2015|ISO 14001:2015|ISO 45001:2018|ISO 50001:2018,,,,https://www.vizagsteel.com/index.asp,/images/suppliers/phase1/steel-metals/rinl-vizag-plant.jpg
Jindal Steel Limited (formerly Jindal Steel & Power Limited),Metal,Steel & Metals,India,"Angul (Jindal Nagar), Odisha",,https://www.jindalsteel.in/,,,"Jindal Steel Limited is a major Indian integrated steelmaker (OP Jindal Group). The Angul complex includes a large blast furnace, India’s first coal-gasification / syngas-based DRI route, a ~1.4 Mtpa TMT rebar mill (Jindal Panther), a plate mill producing plates up to about 5 m wide, plus rails, parallel-flange beams, round bars and wire rod from Angul and sister works at Raigarh and Patratu. Public EPDs state Angul facilities are certified to ISO 9001, ISO 14001 and ISO 45001.",https://docs.jindalsteel.in/document/124/1770874007_1758972428_NJ2.png,/images/suppliers/phase1/steel-metals/jindal-steel-beam.jpg,Jindal Panther TMT rebars|Wide steel plates (Rockhard / structural / API)|Parallel flange beams|Wire rod|Rails,ISO 50001:2018,,,,https://www.indiamart.com/jindal-steel-power-limited-angul-angul/,/images/suppliers/phase1/steel-metals/jindal-steel-beam.jpg|/images/suppliers/phase1/steel-metals/jindal-steel-tmt.jpg
Ezz Steel,Metal,Steel & Metals,Egypt,"Ain Sokhna / Suez (also Alexandria, Sadat City, 10th of Ramadan City)",,https://www.ezzsteel.com/,,,"Ezz Steel is Egypt’s largest steel producer, with four integrated DRI–EAF plants and about 7 million tonnes per year of long and flat products. The Suez / Ain Sokhna complex includes a DRI module, EAFs, a hot strip mill with thin-slab casting, a billet caster and two rebar mills (~1.1 Mt rebar and 1.2 Mt HRC). Other works at Alexandria, Sadat City and 10th of Ramadan City produce rebar, wire rod, HRC and welded fabric. Plants hold ISO 9001/14001/45001/50001 plus UK CARES, CE and SASO product certificates.",https://www.ezzsteel.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MjM4LCJwdXIiOiJibG9iX2lkIn19--241e17f450bf54bcca748fc197082e5932d75839/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fZmlsbCI6WzEyMDAsNjMwXSwic2F2ZXIiOnsicXVhbGl0eSI6OTB9fSwicHVyIjoidmFyaWF0aW9uIn19--e8f5d4a6d1794a4caea4e5641535d88f7aef4a01/03-Mobile-suez2.jpg,/images/suppliers/phase1/steel-metals/ezz-steel-suez.jpg,Plain and deformed rebar (10–40 mm)|Wire rod|Hot rolled coil / flat steel|Welded steel fabric,"ISO 9001 (Alexandria, Suez, Sadat City, 10th of Ramadan)|ISO 14001|ISO 45001|UK CARES BS 4449|CE Mark",,,,https://www.ezzsteel.com/,/images/suppliers/phase1/steel-metals/ezz-steel-suez.jpg
Foliflex Cables (India) Private Limited,Electrotechnical & Cabling,Cables & Electrical,India,Delhi,,https://www.foliflexcables.co.in/,,,"IndiaMART lists Foliflex Cables (India) Private Limited as a manufacturer (also retailer and service provider) of aluminum cables, PVC housing wire, electric house wire, submersible cable, aluminium armoured cable and CCTV wire, with GST 07AADCF2064K1ZN and CIN U31909DL2017PTC323894. The registered/manufacturing address on IndiaMART and company pages is Block A, A-9/2, Jhilmil Industrial Area, G.T. Road, Shahdara, New Delhi 110095; GST registration date is 19-02-2018. Sister site foliflexcables.in describes the same Jhilmil unit as a wire and cable manufacturer of housing wire, FR-LSH cable, telephone/LAN cable, submersible flat cable, copper flexible cable and aluminium cables, and states FR-LSH products are IS 694 certified and made under ISO 9001:2015. A parallel site, foliflexcablesindia.com, also names the Jhilmil manufacturing unit and claims operations from 1976, which conflicts with the 2017/2018 incorporation dates on the IndiaMART profile.",https://foliflexcables.in/img/company/cable-quality-and-testing.webp,/images/suppliers/phase1/cables-electrical/foliflex-1.jpg,"PVC housing / electric house wire (including FR-LSH, IS 694 claimed)|Aluminum cables and aluminium armoured cable|Submersible cable|Multi-core / industrial copper cable|CCTV wire and RG-6 coaxial cable",ISO 9001:2015 (claimed for manufacturing)|IS 694 (claimed for FR-LSH / PVC house wire up to 1100V)|ISI and ISO standards (products stated as conforming)|GST 07AADCF2064K1ZN,IndiaMART product pages list 1 Meter on some coaxial SKUs; no published import/export MOQ found,,,https://www.foliflexcables.co.in/profile.html,/images/suppliers/phase1/cables-electrical/foliflex-1.jpg|/images/suppliers/phase1/cables-electrical/foliflex-2.jpg
KEI Industries Limited,Electrotechnical & Cabling,Cables & Electrical,India,New Delhi,,https://www.kei-ind.com/,,,"KEI Industries Limited is a publicly listed Indian wires and cables manufacturer founded in 1968, with registered/corporate office at D-90, Okhla Industrial Area, Phase-I, New Delhi 110020 (CIN L74899DL1992PLC051527). Official materials describe six-plus manufacturing plants at Bhiwadi, Chopanki and Pathredi (Rajasthan) and Rakholi and Chinchpada (Silvassa, Dadra and Nagar Haveli), producing EHV, HT and LT power cables, control and instrumentation cables, house wire, winding wire, rubber cable, solar cable and stainless steel wire. The company states it serves clients in 60+ countries through 2000+ channel partners and has overseas offices including UAE, South Africa, Nepal and Gambia. Manufacturing facilities are stated as certified to ISO 9001:2015, ISO 14001:2015 and ISO 45001:2018, with NABL/ISO 17025 lab accreditation and product testing/approvals including KEMA, TUV, UL, CE and UKCA as listed in company presentations.",https://www.kei-ind.com/wp-content/uploads/2018/04/ehv-cable.jpg,/images/suppliers/phase1/cables-electrical/kei-1.jpg,"EHV / HT / LT power cables|House wire and winding wire|Control, instrumentation and communication cables|Rubber, solar and fire-survival cables","ISO 9001:2015|ISO 14001:2015|ISO 45001:2018|NABL ISO/IEC 17025:2017 (in-house lab, stated in BRSR)|CE marking / UL (including UL 1072 MV power cable, stated in BRSR)",,,,https://www.kei-ind.com/,/images/suppliers/phase1/cables-electrical/kei-1.jpg|/images/suppliers/phase1/cables-electrical/kei-2.jpg
