mill_name	website	cert_names	cert_image_urls	cert_page_url	notes
EMSTEEL Building Materials PJSC (EMSTEEL)	https://www.emsteel.com/	CARES CPR FPC EN 10025-2|CARES Sustainable Constructional Steel Appendix 05|CARES BES 6001 Responsible Sourcing	https://www.emsteel.com/wp-content/uploads/2020/03/05_CPR-Certificate-of-Conformity-System-Dec.-2020-1.pdf|https://www.emsteel.com/wp-content/uploads/2020/03/07-Sustainable-Constructional-Steel-Structural-July-2020.pdf|https://www.emsteel.com/wp-content/uploads/2020/03/08-Responsible-Sourcing-BES6001-Sep.-2022.pdf	https://www.emsteel.com/es-quality-assurance/	Mill-hosted CARES/CPR certificate PDFs under emsteel.com/wp-content. Quality page and curl HEAD 403 from this crawler (same WAF as prior EMSTEEL research); public WebFetch retrieved full certificate PDFs. Quality page names ISO 9001 (UK CARES), ISO 14001/45001 (TUV ME) but those QMS PDFs were not extracted.
Ferrite Structural Steels Private Limited	https://ferrite.in/	ISO 9001:2015 and mill authorization/cert scans (About Us)	https://ferrite.in/wp-content/uploads/2025/09/certificate-1.jpg|https://ferrite.in/wp-content/uploads/2025/09/certificate-2.jpg|https://ferrite.in/wp-content/uploads/2025/09/certificate-3.jpg|https://ferrite.in/wp-content/uploads/2025/09/certificate-4.jpg|https://ferrite.in/wp-content/uploads/2025/09/certificate-5.jpg	https://ferrite.in/about-us/	Mill About Us 'Our Certifications' gallery (portrait certs 1-2; landscape 3-5). curl HEAD 200 image/jpeg. ferritesteel.com/profile.html only restates ISO 9001:2015 (expiry 03/03/2024 on that page) plus an IndiaMART ISO jpg (not mill-hosted; unused).
Qatar Steel Company (Q.P.S.C.)	https://www.qatarsteel.com.qa/	CARES ISO 9001:2015 (cert 1130)|CARES ISO 14001 EMS|CARES ISO 45001|CARES product conformity BS 4449:2005	https://www.qatarsteel.com.qa/wp-content/uploads/2026/06/CARES-Quality-Management-Systems-Certificate-ISO-9001-2015-2-3.pdf|https://www.qatarsteel.com.qa/wp-content/uploads/2025/02/1667-ENVIRONMENTAL-MANAGEMENT-SYSTEM-CERTIFICATION.pdf|https://www.qatarsteel.com.qa/wp-content/uploads/2025/02/1641-OCCUPATIONAL-HEALTH-AND-SAFETY-MANAGEMENT-SYSTEM-CERTIFICATION-45001.pdf|https://www.qatarsteel.com.qa/wp-content/uploads/2026/01/060401-%E2%80%93-CARES-Product-Conformity-Certification-%E2%80%93-BS4449-2005.pdf	https://www.qatarsteel.com.qa/certifications/	Mill certifications library; curl HEAD 200 application/pdf. Additional CARES/ACRS/SASO/DCL/KUCAS PDFs on same page not all seeded.
JSW Steel Limited	https://www.jswsteel.in/				jswsteel.in sustainability/certifications is text/marketing; no mill-hosted cert jpg/png/pdf extracted. none found.
Saudi Iron and Steel Company (Hadeed)	https://hadeed.com.sa/	ISO 9001:2015 (TUV Austria)|ISO 45001:2018 (DNV)|ISO 14001:2015 (DNV)|ISO 50001:2018 (Bureau Veritas)|ISO/IEC 17025:2017 (IAS)|CARES product conformity BS 4449	https://hadeed-website.s3.eu-central-1.amazonaws.com/notes_250319_095657-1762673900.pdf|https://hadeed-website.s3.eu-central-1.amazonaws.com/cer03-1738053215.pdf|https://hadeed-website.s3.eu-central-1.amazonaws.com/cer04-1738053221.pdf|https://hadeed-website.s3.eu-central-1.amazonaws.com/cer06-1738053236.pdf|https://hadeed-website.s3.eu-central-1.amazonaws.com/cer07-1738053241.pdf|https://hadeed-website.s3.eu-central-1.amazonaws.com/product_conformity_certification_-_bs_4449_andor_related_products.pdf	https://hadeed.com.sa/certificates	Mill certificates index; PDFs on mill S3 (hadeed-website.s3.eu-central-1.amazonaws.com). ISO 9001 maps to notes_250319_095657-1762673900.pdf per page JSON. curl HEAD 200 application/pdf.
Tata Steel Limited	https://www.tatasteel.com/	ISO 14001:2015 Jamshedpur Steel Works + CRM Bara|ISO 14001:2015 Meramandali Steel Works	https://www.tatasteel.com/media/24819/tsjpluscrm-bara.pdf|https://www.tatasteel.com/media/24821/tsm.pdf	https://www.tatasteel.com/corporate/our-organisation/environment/environmental-certifications/	Mill environmental-certifications page hosts ISO 14001 PDFs (IRQS/240300883 Jamshedpur valid to 27 May 2027). curl HEAD 200 application/pdf. ISO 9001 certificate PDF not found on this pass.
Jingye Steel (Jingye Group)	https://www.jingyesteel.com.cn/				jingyesteel.com.cn not scraped to a cert file this pass; none found.
Rashtriya Ispat Nigam Limited (RINL / Vizag Steel)	https://www.vizagsteel.com/				vizagsteel.com has no public cert scan/PDF URL located this pass. none found.
Jindal Steel Limited (formerly Jindal Steel & Power Limited)	https://www.jindalsteel.in/				jindalsteel.in public cert PDFs not retrieved this pass (ISO 50001 cited in presentations only). none found.
Ezz Steel	https://www.ezzsteel.com/	ISO 9001 Alexandria|ISO 14001 Alexandria|ISO 45001 Alexandria|ISO 9001 Suez|CARES BS 4449 Alexandria	https://www.ezzsteel.com/downloads/720/EZZ%20STEEL%20ALEXANDRIA%20ISO%209001.PDF|https://www.ezzsteel.com/downloads/722/EZZ%20STEEL%20ALEXANDRIA%20ISO%2014001.PDF|https://www.ezzsteel.com/downloads/723/EZZ%20STEEL%20ALEXANDRIA%20ISO%2045001.PDF|https://www.ezzsteel.com/downloads/94/EZZ%20STEEL%20SUEZ%20ISO%209001.pdf|https://www.ezzsteel.com/downloads/110/EZZ%20STEEL%20ALEXANDRIA%20UK%20CARES%20BS%204449.pdf	https://www.ezzsteel.com/about-ezz-steel/quality-assured-steel/certifications	Mill certifications download library (Alexandria/Suez/Sadat/10th of Ramadan ISO and CARES PDFs). curl HEAD 200 application/pdf.
Foliflex Cables (India) Private Limited	https://www.foliflexcables.co.in/	Mill certificate scans 01-05 (Our Certifications gallery)	https://foliflexcables.in/img/certifications/foliflex-certificate-01.webp|https://foliflexcables.in/img/certifications/foliflex-certificate-02.webp|https://foliflexcables.in/img/certifications/foliflex-certificate-03.webp|https://foliflexcables.in/img/certifications/foliflex-certificate-04.webp|https://foliflexcables.in/img/certifications/foliflex-certificate-05.webp	https://foliflexcables.in/our-certifications	Sister mill site foliflexcables.in hosts 17 certificate webp scans. Seeded 01-05 (170-395KB; curl HEAD 200 image/webp). Page claims ISO 9001:2015 / IS 694; filenames are generic. foliflexcables.co.in IndiaMART profile has lazy cert widgets (not hard mill URLs).
KEI Industries Limited	https://www.kei-ind.com/	ISO 9001:2015|ISO 14001:2015|ISO 45001:2018|API Q1|BASEC	https://www.kei-ind.com/wp-content/uploads/2026/08/annex-1-iso-9001-eng-c706237-6-20260615.pdf|https://www.kei-ind.com/wp-content/uploads/2026/08/annex-2-iso-14001-eng-c706236-6-20260615.pdf|https://www.kei-ind.com/wp-content/uploads/2026/08/annex-3-iso-45001-eng-c706235-8-20260615.pdf|https://www.kei-ind.com/wp-content/uploads/2026/09/api-q1-certificate.pdf|https://www.kei-ind.com/wp-content/uploads/2026/09/basec-certification.pdf	https://www.kei-ind.com/certifications/	Mill certifications page; ISO annex PDFs plus PNG of ISO 9001 annex also hosted. curl HEAD/Range 200/206 application/pdf.
Polycab India Limited	https://polycab.com/	ISO 9001:2015 (TUV 44 100 24395341)|ISO 14001:2015|ISO 45001:2018	https://cms.polycab.com/media/5z5b3pzt/pil-iso-9001-2015-certificate-valid-until-09-08-2027-13.pdf|https://cms.polycab.com/media/kqap21cj/pil-iso-14001-2015-certificate-valid-until-09-08-2027-14.pdf|https://cms.polycab.com/media/t0cjk4ui/pil-iso-45001-2018-certificate-valid-until-09-08-2027-12.pdf	https://polycab.com/about-us/certifications	Mill CMS PDFs. HEAD may return text/html WAF; GET returns 200 application/pdf (ISO 9001 ~447KB). BASEC product cert PDFs also on same page.
R R Kabel Limited	https://www.rrkabel.com/	ISO 9001:2015|ISO 14001:2015|ISO 45001:2018|TUV EN 50618 solar (Waghodia)|BIS IS 694 (Waghodia)	https://www.rrkabel.com/wp-content/uploads/2024/05/ISO-9001-2015.pdf|https://www.rrkabel.com/wp-content/uploads/2024/05/ISO-14001-2015.pdf|https://www.rrkabel.com/wp-content/uploads/2024/05/ISO-45001-2018.pdf|https://www.rrkabel.com/wp-content/uploads/2024/06/TUV-EN-50618-Solar-Cable-Waghodia.pdf|https://www.rrkabel.com/wp-content/uploads/2025/02/BIS-IS-694-Waghodia.pdf	https://www.rrkabel.com/certifications/	Mill certifications page + /wp-content/uploads/2024/05/ ISO PDFs. curl Range 206 application/pdf. BASEC/BIS/CSA product PDFs also listed.
Jiangsu Yuhui Cable Co., Ltd.	https://yuhuicable.en.made-in-china.com/				Listed site is Made-in-China; Certificate*.webp thumbs are 3-5KB (not usable scans). none found as hard mill cert files.
Shanghai Shenghua Cable (Group) Co., Ltd.	https://www.shenghuacablegroup.com/				shenghuacablegroup.com/certificate.html 404; shanpowercable.com certificate page empty. none found.
XWA Power & Cable Co., Ltd.	https://www.xwacable.com/	ISO 9001|ISO 14001|ISO 45001	https://www.xwacable.com/wp-content/uploads/2026/02/ISO-9001-XWA_01.webp|https://www.xwacable.com/wp-content/uploads/2026/02/ISO14001-XWA_01.webp|https://www.xwacable.com/wp-content/uploads/2026/02/ISO-45001-XWA_01.webp	https://www.xwacable.com/our-factory/	Mill factory page publishes ISO certificate webp scans (not badge icons). curl HEAD 200 image/webp.
Henan Huadong Cable Co., Ltd.	https://huadongcablegroup.com/	Mill certificate scans 01-03 (homepage gallery)	https://huadongcablegroup.com/wp-content/uploads/2023/11/certificate-01.jpg|https://huadongcablegroup.com/wp-content/uploads/2023/11/certificate-02.jpg|https://huadongcablegroup.com/wp-content/uploads/2023/11/certificate-03.jpg	https://huadongcablegroup.com/	Mill homepage certificate-01..06.jpg gallery (ISO/CCC/CE claimed). Seeded 01-03; curl HEAD 200 image/jpeg (small JPEGs ~17-26KB). No /certificates/ path (404).
Shandong New Luxing Cable Co., Ltd.	https://www.luxingcable.com/				luxingcable.com/certificate 404; company-introduce has no cert media. none found.
People's Cable Group Co., Ltd.	https://www.rmjtcable.com/				rmjtcable.com/certificate/ 404; about-us has no cert jpg/pdf. none found.
UltraTech Cement Limited	https://www.ultratechcement.com/				ultratechcement.com/about-us/quality 404; no mill-hosted cert scan/PDF found. none found.
CEMEX, S.A.B. de C.V.	https://www.cemex.com/en				No mill-hosted cert jpg/png/pdf extracted from cemex.com this pass. none found.
Anhui Conch Cement Company Limited	https://www.conch.cn/				conch.cn/chinaconch English pages have no cert file URLs found. none found.
Heidelberg Materials AG	https://www.heidelbergmaterials.com/en				heidelbergmaterials.com/en/quality 404; no mill-hosted cert scan/PDF found. none found.
Commercial Metals Company	https://www.cmc.com/				cmc.com certifications path 404; no mill-hosted cert scan/PDF found. none found.
Vulcan Materials Company	https://www.vulcanmaterials.com/				No certifications listed in source CSV; none found on mill site this pass.
Zamil Steel Pre-Engineered Buildings Co. Ltd.	https://zamilsteel.com/				zamilsteel.com/peb/en/quality-assurance is copy-only; no cert jpg/png/pdf extracted. none found.
Magicrete Building Solutions Private Limited	https://www.magicrete.in/				magicrete.in/certificates is a JS shell with no extractable cert files. none found.
Hangxiao Steel Structure (Shandong) Co., Ltd.	https://www.hxsssd.com/				hxsssd.com not yielding mill-hosted cert files this pass. none found.
Chaoda Valves Group Co., Ltd.	http://www.chinavalve.com				chinavalve.com certificate paths 404/timeout. none found.
Neway Valve (Suzhou) Co., Ltd.	https://www.newayvalve.com				newayvalve.com quality/qualification paths 404/empty. none found.
Leo Group Pump (Zhejiang) Co., Ltd.	https://www.leopump.com/en/				leopump.com/en/certificate.html 500. none found.
Nanfang Pump Industry Co., Ltd.	https://cnppump.com				cnppump.com/certificate.html 404. none found.
Zhejiang Zhiju Pipeline Industry Co., Ltd.	https://www.zhiju-steel.com/	TUV/PED mill certificate scans	https://www.zhiju-steel.com/wp-content/uploads/2025/05/TUV.jpg|https://www.zhiju-steel.com/wp-content/uploads/2025/05/TUV%EF%BC%882%EF%BC%89-1.jpg	https://www.zhiju-steel.com/certificate/	Mill /certificate/ hosts TUV certificate JPEGs (plus high-tech/innovation scans not seeded). curl HEAD 200 image/jpeg.
Wafangdian Bearing Group Corp., Ltd.	https://zwz-bearing.com/en/				zwz-bearing.com/en/certificate.html 404. none found.
Luoyang Huigong Bearing Technology Co., Ltd.	https://www.chgbearings.com/en				chgbearings.com Certificate path 404. none found.
Tong Ming Enterprise (Zhejiang) Co., Ltd.	https://eng.tonggroup.com.tw/				eng.tonggroup.com.tw/certificates.html is a stub (6KB) with no media. none found.
Sundram Fasteners Limited	https://sundram.com/				sundram.com quality/certificates.php 404. none found.
Kirloskar Brothers Limited	https://www.kirloskarpumps.com/				kirloskarpumps.com quality/certifications 503. none found.
Shandong Corruone New Material Co., Ltd.	https://www.corruone.com/				corruone.com/certificate.html empty. none found.
Dongguan Yalan Packing Materials Co., Ltd.	https://www.yalanpack.com/				yalanpack.com/certificate.html 200 but no extractable cert jpg/png/pdf. none found.
Jiangsu Jieyuan Container Co., Ltd.	https://jieyuanpackaging.com/				jieyuanpackaging.com/certificate/ 404; about-us has factory photos not cert scans. none found.
Hangzhou Hansin New Packing Material Co., Ltd.	https://hansinpacking.com/				hansinpacking.com certificate/about returned 202 empty. none found.
Dongguan Caicheng Printing Factory	https://www.ccprinting.cn/	ISO 9001|ISO 14001|FSC	https://packccp.com/wp-content/uploads/2026/06/iso9001.webp|https://packccp.com/wp-content/uploads/2026/07/ISO-14001.webp|https://packccp.com/wp-content/uploads/2026/06/fsc.webp	https://packccp.com/certificates/	Export brand PACKCCP (packccp.com) is the mill's certificate host; ccprinting.cn /certificate/ 404. Used full-size scans (not 10KB thumbs). curl HEAD 200 image/webp.
Wuxi Sifang Youxin Co., Ltd.	https://www.wxsfgroup.com/				wxsfgroup.com about-us has no cert files found. none found.
Meghdoot Packaging (Uttaranchal)	https://meghdootpackaging.com/				meghdootpackaging.com homepage has no cert jpg/png/pdf extracted. none found.
Shangyue (Shanghai) Printing Co., Ltd.	https://www.sh-sylabel.com/				sh-sylabel.com no cert file URLs found this pass. none found.
UFlex Limited	https://www.uflexltd.com/				uflexltd.com quality/certifications pages are investor/news copy; no mill-hosted cert scan/PDF found. none found.
Shandong Dingsheng Container Co., Ltd.	https://www.dsibctank.com/				dsibctank.com/certificate/ and /honor/ 404. none found.
